( TOKEN, 'palavra/simbolo' )
( INICIO, 'start' )
( INICIO_BLOCO, '{' )
( COMENTARIO, '# Calculate (A+B)*(C/D) and check if result is greater or lower than 10' )
( TIPO_INT, 'int' )
( VARIAVEL, 'A' )
( IGUAL, '=' )
( READ, 'read' )
( ABRE_PARENTESES, '(' )
( STRING, '"Enter value for A: "' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( TIPO_INT, 'int' )
( VARIAVEL, 'B' )
( IGUAL, '=' )
( READ, 'read' )
( ABRE_PARENTESES, '(' )
( STRING, '"Enter value for B: "' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( TIPO_INT, 'int' )
( VARIAVEL, 'C' )
( IGUAL, '=' )
( READ, 'read' )
( ABRE_PARENTESES, '(' )
( STRING, '"Enter value for C: "' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( TIPO_INT, 'int' )
( VARIAVEL, 'D' )
( IGUAL, '=' )
( READ, 'read' )
( ABRE_PARENTESES, '(' )
( STRING, '"Enter value for D: "' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( TIPO_INT, 'int' )
( VARIAVEL, 'result' )
( PONTO_E_VIRGULA, ';' )
( VARIAVEL, 'result' )
( IGUAL, '=' )
( ABRE_PARENTESES, '(' )
( VARIAVEL, 'A' )
( SOMA, '+' )
( VARIAVEL, 'B' )
( FECHA_PARENTESES, ')' )
( MULT, '*' )
( ABRE_PARENTESES, '(' )
( VARIAVEL, 'C' )
( DIV, '/' )
( VARIAVEL, 'D' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( IF, 'if' )
( ABRE_PARENTESES, '(' )
( VARIAVEL, 'result' )
( MAIOR, '>' )
( INT, '10' )
( FECHA_PARENTESES, ')' )
( INICIO_BLOCO, '{' )
( WRITE, 'write' )
( ABRE_PARENTESES, '(' )
( STRING, '"The result "' )
( SOMA, '+' )
( VARIAVEL, 'result' )
( SOMA, '+' )
( STRING, '" is greater than 10"' )
( SOMA, '+' )
( STRING, '"\n"' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( FINAL_BLOCO, '}' )
( ELSE, 'else' )
( INICIO_BLOCO, '{' )
( WRITE, 'write' )
( ABRE_PARENTESES, '(' )
( STRING, '"The result "' )
( SOMA, '+' )
( VARIAVEL, 'result' )
( SOMA, '+' )
( STRING, '" is lower than or equal to 10"' )
( SOMA, '+' )
( STRING, '"\n"' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( FINAL_BLOCO, '}' )
( FINAL_BLOCO, '}' )
( FIM, 'end' )
