( TOKEN, 'palavra/simbolo' )
( INICIO, 'start' )
( INICIO_BLOCO, '{' )
( COMENTARIO, '# Print numbers from 1 to 10 using a while loop' )
( TIPO_INT, 'int' )
( VARIAVEL, 'i' )
( IGUAL, '=' )
( INT, '1' )
( PONTO_E_VIRGULA, ';' )
( WHILE, 'while' )
( ABRE_PARENTESES, '(' )
( VARIAVEL, 'i' )
( MENOR_OU_IGUAL, '<=' )
( INT, '10' )
( FECHA_PARENTESES, ')' )
( INICIO_BLOCO, '{' )
( WRITE, 'write' )
( ABRE_PARENTESES, '(' )
( STRING, '"Number: "' )
( SOMA, '+' )
( VARIAVEL, 'i' )
( SOMA, '+' )
( STRING, '"\n"' )
( FECHA_PARENTESES, ')' )
( PONTO_E_VIRGULA, ';' )
( VARIAVEL, 'i' )
( IGUAL, '=' )
( VARIAVEL, 'i' )
( SOMA, '+' )
( INT, '1' )
( PONTO_E_VIRGULA, ';' )
( FINAL_BLOCO, '}' )
( FINAL_BLOCO, '}' )
( FIM, 'end' )
